23/03/14;"0:0:59";"0:17:17";"0:26:51";"0:4:38";"0:0:0"
24/03/14;"0:3:29";"0:26:44";"0:14:20";"0:6:55";"0:0:12"
26/03/14;"0:29:5";"0:29:7";"1:17:10";"0:12:25";"0:0:0"
30/03/14;"0:16:41";"0:28:36";"0:1:23";"0:0:0";"0:0:0"
31/03/14;"0:0:0";"0:0:0";"0:0:32";"0:0:0";"0:0:0"
31/03/14;"0:18:42";"0:24:18";"0:12:38";"0:0:17";"0:0:0"
02/04/14;"0:0:7";"0:0:18";"0:5:2";"0:0:0";"0:0:0"
02/04/14;"0:17:35";"0:6:42";"0:13:26";"0:2:17";"0:0:0"
06/04/14;"0:0:40";"0:9:44";"1:29:26";"1:15:6";"0:0:0"
10/04/14;"0:0:18";"0:16:38";"1:3:47";"0:26:32";"0:0:0"
12/04/14;"3:32:21";"2:59:25";"1:7:41";"0:0:0";"0:0:0"
14/04/14;"0:13:32";"0:16:58";"0:7:38";"0:4:8";"0:0:0"
16/04/14;"0:27:49";"0:19:17";"0:17:59";"0:0:0";"0:0:0"
18/04/14;"0:15:5";"0:26:20";"0:22:24";"0:2:36";"0:0:0"
27/04/14;"1:1:25";"0:33:15";"0:18:33";"0:0:0";"0:0:0"
28/04/14;"0:2:24";"0:36:50";"0:19:31";"0:0:27";"0:0:0"
29/04/14;"0:12:19";"0:31:52";"0:11:31";"0:5:2";"0:0:0"
06/05/14;"0:6:21";"0:16:53";"0:47:9";"0:9:38";"0:0:0"
07/05/14;"0:22:33";"0:25:25";"0:15:9";"0:13:42";"0:0:0"
10/05/14;"2:15:31";"0:57:1";"0:16:40";"0:0:0";"0:0:0"
11/05/14;"3:26:29";"0:33:8";"0:8:4";"0:5:6";"0:0:0"
12/05/14;"1:14:37";"0:32:15";"0:0:5";"0:0:0";"0:0:0"
13/05/14;"0:11:31";"0:14:7";"0:20:10";"0:0:25";"0:0:0"
14/05/14;"0:10:13";"0:28:6";"0:33:25";"0:24:55";"0:0:0"
18/05/14;"0:5:10";"0:5:0";"1:26:42";"1:7:29";"0:0:0"
18/05/14;"0:1:32";"0:4:3";"0:2:50";"0:0:0";"0:0:0"
20/05/14;"0:58:42";"0:43:48";"1:56:51";"0:0:2";"0:0:0"
22/05/14;"0:9:57";"0:34:36";"0:22:41";"0:5:19";"0:0:0"
25/05/14;"0:15:46";"1:45:22";"1:56:9";"0:0:38";"0:0:0"
29/05/14;"0:0:56";"0:9:48";"0:29:8";"0:22:29";"0:0:0"
30/05/14;"0:29:21";"1:43:33";"0:5:53";"0:0:0";"0:0:0"
30/05/14;"1:12:36";"0:48:34";"1:26:25";"0:0:0";"0:0:0"
30/05/14;"0:33:19";"0:1:18";"0:0:0";"0:0:0";"0:0:0"
01/06/14;"0:25:59";"0:16:26";"0:6:34";"0:0:0";"0:0:0"
01/06/14;"0:3:16";"0:6:22";"0:5:38";"0:6:50";"0:0:0"
02/06/14;"0:17:44";"0:26:55";"0:23:30";"0:1:55";"0:0:11"
04/06/14;"0:1:12";"0:26:36";"0:27:0";"0:14:11";"0:0:10"
05/06/14;"0:0:24";"0:12:27";"0:38:25";"0:3:8";"0:0:0"
07/06/14;"0:14:50";"0:25:20";"0:27:27";"0:33:28";"0:0:41"
08/06/14;"1:33:49";"1:32:28";"0:16:57";"0:0:0";"0:0:0"
12/06/14;"0:3:27";"0:18:35";"0:19:31";"0:17:17";"0:0:16"
13/06/14;"0:4:30";"0:21:56";"0:16:15";"0:0:0";"0:0:0"
14/06/14;"0:3:29";"0:7:44";"0:9:9";"0:0:52";"0:0:0"
15/06/14;"0:0:9";"0:0:9";"0:15:20";"0:31:42";"0:0:0"
16/06/14;"0:13:48";"0:24:4";"0:23:9";"0:0:0";"0:0:0"
17/06/14;"0:19:17";"0:20:45";"0:14:22";"0:3:59";"0:0:0"
18/06/14;"0:9:24";"0:14:50";"0:39:24";"0:8:38";"0:0:0"
21/06/14;"3:26:46";"2:54:50";"2:21:6";"0:0:48";"0:0:0"
22/06/14;"2:26:22";"0:52:12";"0:10:57";"0:0:0";"0:0:0"
28/06/14;"0:8:9";"1:16:25";"6:30:43";"0:14:59";"0:0:0"
30/06/14;"0:17:49";"0:25:58";"0:7:1";"0:0:0";"0:0:0"
06/07/14;"0:3:13";"0:12:37";"0:23:41";"0:42:40";"0:0:0"
07/07/14;"0:16:52";"0:25:58";"0:14:36";"0:1:37";"0:0:0"
08/07/14;"0:12:37";"0:15:51";"0:11:54";"0:5:59";"0:0:11"
10/07/14;"0:3:45";"0:14:2";"0:16:43";"0:15:11";"0:0:0"
12/07/14;"0:3:13";"0:30:32";"0:49:16";"0:20:24";"0:2:21"
13/07/14;"0:2:34";"0:24:21";"0:31:33";"0:2:3";"0:0:0"
14/07/14;"0:1:34";"0:12:59";"0:16:43";"0:13:50";"0:0:6"
19/07/14;"0:0:29";"0:3:41";"0:41:29";"0:2:54";"0:0:0"
20/07/14;"0:3:34";"0:40:7";"1:12:20";"0:1:51";"0:0:0"
22/07/14;"0:14:28";"0:20:39";"0:17:12";"0:4:57";"0:0:0"
23/07/14;"0:2:38";"0:13:37";"0:10:19";"0:2:34";"0:0:0"
23/07/14;"0:3:25";"0:6:57";"0:8:21";"0:8:50";"0:0:0"
24/07/14;"0:27:4";"0:2:53";"0:0:0";"0:0:0";"0:0:0"
24/07/14;"0:58:24";"1:4:5";"0:32:46";"0:8:22";"0:0:0"
25/07/14;"0:6:13";"0:7:31";"0:2:12";"0:0:0";"0:0:0"
26/07/14;"0:3:49";"0:28:56";"1:14:44";"0:2:30";"0:0:0"
28/07/14;"0:13:26";"0:10:10";"0:40:50";"0:34:33";"0:1:31"
29/07/14;"0:8:13";"0:32:47";"0:16:32";"0:0:0";"0:0:0"
07/08/14;"0:2:18";"0:12:14";"0:26:5";"0:16:6";"0:0:22"
08/08/14;"1:50:23";"1:37:53";"0:35:11";"0:10:0";"0:0:0"
09/08/14;"0:27:10";"0:23:4";"0:17:15";"0:8:32";"0:0:0"
11/08/14;"0:14:2";"1:6:3";"0:30:50";"0:15:53";"0:0:0"
13/08/14;"0:14:51";"0:20:22";"0:41:24";"0:27:21";"0:0:0"
15/08/14;"1:55:14";"1:11:37";"0:28:37";"0:7:29";"0:0:0"
16/08/14;"0:13:47";"0:59:29";"0:53:25";"0:3:16";"0:0:0"
19/08/14;"0:10:27";"0:14:12";"0:18:11";"0:16:41";"0:0:0"
21/08/14;"0:3:55";"0:24:18";"0:14:53";"0:11:48";"0:0:11"
23/08/14;"0:2:23";"0:9:51";"0:25:13";"0:15:11";"0:0:0"
25/08/14;"0:0:54";"0:17:24";"0:22:34";"0:1:58";"0:0:0"
26/08/14;"0:2:23";"0:26:46";"0:0:0";"0:0:0";"0:0:0"
29/08/14;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
29/08/14;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
30/08/14;"1:2:48";"0:29:30";"0:2:53";"0:0:0";"0:0:0"
06/09/14;"0:36:32";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
07/09/14;"2:16:56";"0:2:6";"0:4:53";"0:0:27";"0:0:0"
14/09/14;"1:7:55";"0:6:32";"0:5:8";"0:0:0";"0:0:0"
14/09/14;"0:7:51";"0:11:54";"0:24:18";"0:6:34";"0:0:0"
18/09/14;"0:19:45";"0:13:11";"0:14:26";"0:0:0";"0:0:0"
20/09/14;"0:2:54";"0:20:37";"0:17:53";"0:2:18";"0:0:0"
21/09/14;"0:30:49";"0:40:59";"0:17:54";"0:0:0";"0:0:0"
23/09/14;"0:16:23";"0:22:51";"0:14:21";"0:2:3";"0:0:0"
27/09/14;"0:2:32";"0:18:47";"0:43:25";"0:7:42";"0:0:0"
28/09/14;"5:32:37";"1:4:35";"0:34:57";"0:0:20";"0:0:0"
30/09/14;"0:32:46";"0:20:29";"0:7:7";"0:1:35";"0:0:0"
01/10/14;"0:5:4";"0:19:55";"0:9:28";"0:18:46";"0:9:29"
02/10/14;"0:26:27";"0:14:52";"0:35:41";"0:0:19";"0:0:0"
03/10/14;"0:11:48";"0:24:32";"0:5:52";"0:9:25";"0:2:8"
04/10/14;"0:27:10";"0:32:12";"0:41:1";"0:4:48";"0:1:1"
05/10/14;"0:0:50";"0:15:22";"0:23:5";"0:0:18";"0:0:0"
07/10/14;"0:4:34";"0:29:52";"0:12:22";"0:10:0";"0:1:21"
09/10/14;"0:7:26";"0:15:31";"0:10:17";"0:4:55";"0:2:21"
12/10/14;"0:0:13";"0:0:17";"0:20:2";"0:49:24";"0:1:12"
13/10/14;"0:24:29";"0:32:40";"0:3:3";"0:0:0";"0:0:0"
14/10/14;"0:3:29";"0:17:35";"0:18:32";"0:0:0";"0:0:0"
18/10/14;"0:14:44";"0:41:36";"1:41:56";"0:55:18";"0:0:35"
19/10/14;"3:22:32";"2:4:1";"0:33:33";"0:0:0";"0:0:0"
25/10/14;"0:2:44";"0:15:16";"1:8:58";"0:4:5";"0:0:0"
26/10/14;"1:8:11";"0:42:55";"1:32:27";"0:19:16";"0:0:0"
26/10/14;"0:9:23";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
29/10/14;"0:12:27";"0:5:32";"0:29:40";"0:4:11";"0:0:0"
01/11/14;"0:5:41";"0:13:44";"0:34:39";"0:24:6";"0:3:51"
02/11/14;"0:52:0";"0:45:59";"1:8:35";"0:47:30";"0:1:30"
03/11/14;"0:15:38";"0:26:52";"0:10:41";"0:0:10";"0:0:0"
06/11/14;"0:0:0";"0:0:0";"0:0:0";"0:0:19";"0:0:0"
06/11/14;"0:3:30";"0:6:30";"0:10:3";"0:15:1";"0:1:28"
08/11/14;"1:35:31";"0:57:25";"0:24:44";"0:0:0";"0:0:0"
09/11/14;"0:58:57";"0:50:30";"0:21:43";"0:10:44";"0:0:0"
10/11/14;"0:3:17";"0:39:17";"0:53:55";"0:7:53";"0:0:0"
11/11/14;"0:37:47";"0:37:28";"0:24:7";"0:1:26";"0:0:0"
13/11/14;"0:5:59";"0:16:57";"0:19:23";"0:12:45";"0:1:6"
14/11/14;"0:12:11";"0:34:20";"0:17:54";"0:0:1";"0:0:0"
16/11/14;"0:26:30";"0:11:54";"0:30:22";"0:13:30";"0:0:7"
17/11/14;"0:4:39";"0:26:17";"0:13:54";"0:13:56";"0:0:5"
20/11/14;"0:10:51";"0:14:40";"0:22:39";"0:10:34";"0:0:0"
22/11/14;"1:53:27";"0:18:27";"0:3:19";"0:0:0";"0:0:0"
22/11/14;"0:0:18";"0:6:11";"0:29:35";"0:8:12";"0:0:0"
22/11/14;"0:0:9";"0:0:16";"0:8:56";"0:5:16";"0:0:4"
23/11/14;"0:5:42";"0:15:46";"0:32:28";"0:12:56";"0:0:15"
25/11/14;"0:0:25";"0:7:44";"0:27:38";"0:2:52";"0:0:0"
28/11/14;"0:1:55";"0:16:6";"0:6:40";"0:4:3";"0:1:11"
29/11/14;"0:8:6";"0:37:36";"0:23:45";"0:6:55";"0:0:0"
30/11/14;"1:3:29";"0:1:30";"0:0:0";"0:0:0";"0:0:0"
30/11/14;"0:2:43";"0:11:32";"0:12:20";"0:11:19";"0:1:9"
02/12/14;"0:1:17";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
02/12/14;"0:8:32";"0:17:38";"0:20:26";"0:5:29";"0:0:0"
04/12/14;"0:13:4";"0:13:15";"0:23:28";"0:3:37";"0:0:0"
05/12/14;"0:1:21";"0:13:23";"0:23:2";"0:13:51";"0:0:0"
06/12/14;"0:5:50";"0:42:4";"0:30:50";"0:15:44";"0:0:0"
07/12/14;"0:24:6";"0:1:57";"0:16:58";"0:0:31";"0:0:0"
07/12/14;"0:3:10";"0:20:27";"0:29:52";"0:0:8";"0:0:0"
09/12/14;"0:9:37";"0:15:52";"0:26:23";"0:9:25";"0:0:0"
11/12/14;"0:7:43";"0:22:34";"0:37:27";"0:17:2";"0:0:0"
12/12/14;"0:7:15";"0:31:18";"0:26:38";"0:3:32";"0:0:0"
13/12/14;"0:42:21";"0:57:37";"0:49:15";"0:11:5";"0:0:0"
14/12/14;"0:4:46";"0:25:22";"0:39:22";"0:0:37";"0:0:0"
19/12/14;"0:4:10";"0:18:44";"0:13:15";"0:3:29";"0:0:0"
20/12/14;"0:45:3";"0:41:10";"2:46:59";"0:50:26";"0:0:0"
23/12/14;"1:37:24";"0:16:28";"0:1:12";"0:0:0";"0:0:0"
24/12/14;"0:3:10";"0:14:19";"0:23:8";"0:9:57";"0:1:52"
25/12/14;"0:0:40";"0:7:23";"0:24:12";"0:6:10";"0:0:44"
26/12/14;"0:0:21";"0:9:30";"0:22:20";"0:13:9";"0:0:12"
28/12/14;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
28/12/14;"0:0:43";"0:11:49";"0:45:55";"0:10:47";"0:0:0"
28/12/14;"1:0:25";"0:17:51";"0:3:37";"0:0:0";"0:0:0"
30/12/14;"0:17:31";"0:22:6";"1:1:55";"0:8:8";"0:0:0"
01/01/15;"1:48:32";"0:38:1";"0:37:55";"0:7:39";"0:0:0"
02/01/15;"2:26:14";"1:19:44";"0:21:12";"0:0:37";"0:0:0"
03/01/15;"0:0:14";"0:0:7";"0:6:26";"0:31:46";"0:0:0"
04/01/15;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
04/01/15;"1:23:11";"0:44:3";"0:49:3";"0:0:26";"0:0:0"
06/01/15;"0:1:47";"0:0:58";"0:24:48";"0:12:57";"0:9:1"
07/01/15;"0:4:25";"0:17:49";"0:23:57";"0:5:35";"0:0:0"
09/01/15;"0:40:40";"0:14:14";"0:0:47";"0:0:0";"0:0:0"
10/01/15;"0:46:13";"0:32:9";"1:34:10";"0:5:25";"0:0:0"
11/01/15;"0:36:31";"0:16:41";"1:5:17";"0:4:2";"0:0:0"
14/01/15;"0:50:53";"0:3:4";"0:2:17";"0:0:0";"0:0:0"
16/01/15;"0:3:33";"0:32:9";"0:16:32";"0:4:17";"0:0:0"
18/01/15;"0:0:36";"0:26:14";"0:35:42";"0:11:28";"0:0:4"
20/01/15;"0:1:14";"0:12:7";"0:18:37";"0:17:38";"0:0:0"
23/01/15;"0:3:42";"0:15:38";"0:13:58";"0:12:55";"0:1:32"
24/01/15;"0:23:0";"0:17:4";"1:16:17";"0:6:15";"0:0:0"
25/01/15;"3:22:59";"0:10:50";"0:0:5";"0:0:0";"0:0:0"
26/01/15;"0:6:57";"0:19:56";"0:18:36";"0:15:43";"0:0:0"
27/01/15;"0:3:5";"0:34:11";"0:10:4";"0:0:0";"0:0:0"
29/01/15;"0:17:4";"0:34:50";"0:8:4";"0:0:0";"0:0:0"
30/01/15;"0:20:41";"0:26:24";"0:10:33";"0:0:0";"0:0:0"
31/01/15;"1:7:18";"1:6:1";"0:20:37";"0:0:0";"0:0:0"
31/01/15;"0:3:38";"0:8:56";"0:17:57";"0:0:40";"0:0:0"
01/02/15;"0:2:6";"0:13:58";"0:24:29";"0:4:12";"0:0:0"
01/02/15;"0:23:36";"0:28:31";"0:2:37";"0:0:0";"0:0:0"
05/02/15;"0:4:57";"0:22:30";"0:24:1";"0:10:16";"0:0:0"
06/02/15;"0:8:23";"0:23:24";"0:23:58";"0:3:57";"0:0:0"
07/02/15;"0:13:3";"0:3:55";"0:6:50";"0:0:0";"0:0:0"
07/02/15;"0:0:5";"0:0:10";"0:2:49";"0:29:29";"0:0:0"
07/02/15;"0:17:21";"0:15:35";"0:7:54";"0:1:46";"0:0:0"
08/02/15;"2:8:34";"0:30:28";"0:8:36";"0:0:6";"0:0:3"
08/02/15;"0:18:35";"0:25:2";"0:23:8";"0:0:0";"0:0:0"
09/02/15;"0:10:53";"0:11:56";"0:36:41";"0:8:42";"0:0:0"
10/02/15;"0:8:50";"0:16:16";"0:48:46";"0:0:47";"0:0:0"
12/02/15;"0:30:21";"0:33:50";"2:11:14";"0:23:24";"0:0:0"
13/02/15;"0:5:0";"0:21:46";"0:18:53";"0:1:19";"0:0:0"
14/02/15;"1:0:18";"0:52:7";"0:24:23";"0:0:0";"0:0:0"
15/02/15;"1:41:53";"0:51:27";"0:36:11";"0:2:0";"0:0:0"
16/02/15;"0:0:17";"0:0:7";"0:7:41";"0:26:34";"0:0:0"
16/02/15;"0:12:39";"0:2:26";"0:10:37";"0:0:36";"0:0:0"
18/02/15;"0:19:8";"0:20:57";"0:19:36";"0:2:10";"0:0:0"
19/02/15;"1:33:19";"1:16:0";"0:43:54";"0:2:44";"0:0:0"
20/02/15;"0:3:42";"0:21:42";"0:26:33";"0:8:27";"0:0:0"
23/02/15;"0:12:1";"0:18:7";"0:27:20";"0:0:50";"0:0:0"
26/02/15;"0:12:32";"0:16:50";"0:23:0";"0:2:37";"0:0:0"
27/02/15;"0:1:34";"0:20:44";"0:18:7";"0:3:7";"0:0:0"
28/02/15;"0:8:42";"0:6:59";"0:4:35";"0:0:0";"0:0:0"
28/02/15;"0:0:16";"0:0:9";"0:1:29";"0:29:0";"0:0:0"
28/02/15;"0:18:5";"0:5:16";"0:8:59";"0:0:0";"0:0:0"
01/03/15;"0:41:49";"0:5:45";"0:0:28";"0:0:0";"0:0:0"
02/03/15;"0:12:17";"0:14:42";"0:8:51";"0:15:36";"0:4:0"
03/03/15;"0:8:36";"0:29:47";"0:18:38";"0:0:0";"0:0:0"
05/03/15;"0:4:47";"0:24:24";"0:29:40";"0:7:53";"0:2:0"
06/03/15;"0:8:44";"0:17:0";"0:15:42";"0:7:2";"0:1:50"
08/03/15;"0:7:48";"0:14:6";"1:11:50";"0:35:0";"0:0:0"
08/03/15;"1:20:14";"0:3:11";"0:0:41";"0:0:0";"0:0:0"
11/03/15;"0:17:30";"0:32:51";"0:12:44";"0:0:13";"0:0:0"
13/03/15;"0:33:59";"0:32:36";"0:3:6";"0:0:24";"0:0:0"
14/03/15;"1:25:48";"0:53:7";"0:24:28";"0:0:0";"0:0:0"
15/03/15;"2:11:29";"0:3:27";"0:0:0";"0:0:0";"0:0:0"
16/03/15;"0:6:51";"0:29:15";"0:26:4";"0:0:5";"0:0:0"
17/03/15;"0:4:47";"0:20:38";"0:17:30";"0:9:31";"0:5:5"
18/03/15;"0:21:18";"0:7:44";"0:9:0";"0:17:39";"0:0:0"
19/03/15;"0:35:46";"0:27:4";"0:5:27";"0:0:0";"0:0:0"
20/03/15;"0:18:29";"0:28:45";"0:11:10";"0:13:36";"0:3:40"
21/03/15;"0:12:6";"0:24:53";"1:16:40";"0:3:49";"0:0:0"
22/03/15;"0:2:2";"0:14:33";"0:18:41";"0:7:14";"0:0:1"
22/03/15;"0:33:18";"0:1:39";"0:0:0";"0:0:0";"0:0:0"
29/03/15;"0:0:11";"0:4:9";"0:36:13";"1:28:16";"0:0:0"
31/03/15;"0:7:28";"0:34:42";"0:18:15";"0:3:33";"0:0:0"
02/04/15;"0:9:17";"0:14:8";"0:21:52";"0:23:14";"0:6:58"
03/04/15;"0:14:41";"0:12:50";"0:14:4";"0:10:42";"0:0:0"
04/04/15;"0:10:51";"0:16:31";"1:23:28";"0:5:18";"0:0:0"
06/04/15;"0:1:5";"0:14:27";"0:38:13";"0:2:34";"0:0:0"
07/04/15;"0:8:43";"0:12:32";"0:22:23";"0:9:28";"0:0:21"
11/04/15;"2:34:47";"1:32:5";"1:34:5";"0:8:21";"0:0:0"
12/04/15;"4:8:22";"1:40:40";"0:57:43";"0:0:0";"0:0:0"
14/04/15;"0:33:6";"0:24:37";"0:53:57";"0:0:2";"0:0:0"
14/04/15;"1:29:14";"0:10:32";"0:0:14";"0:0:0";"0:0:0"
15/04/15;"0:1:37";"0:28:59";"0:27:14";"0:5:12";"0:0:0"
19/04/15;"0:1:4";"0:1:41";"0:0:56";"0:0:0";"0:0:0"
19/04/15;"0:0:36";"0:13:26";"0:23:38";"0:12:13";"0:0:0"
20/04/15;"1:32:25";"0:2:23";"0:3:29";"0:0:25";"0:0:0"
21/04/15;"0:18:3";"0:52:15";"0:37:53";"0:1:16";"0:0:0"
21/04/15;"1:18:11";"0:1:57";"0:0:0";"0:0:0";"0:0:0"
24/04/15;"0:1:43";"0:9:40";"0:1:40";"0:0:0";"0:0:0"
24/04/15;"0:15:15";"0:25:37";"1:25:12";"0:16:53";"0:0:0"
27/04/15;"0:1:3";"0:19:5";"0:18:20";"0:7:42";"0:15:17"
01/05/15;"0:0:47";"0:36:2";"0:39:24";"0:22:14";"0:0:23"
02/05/15;"1:35:36";"0:48:46";"0:26:34";"0:2:1";"0:0:5"
03/05/15;"0:0:14";"0:0:28";"0:24:19";"0:47:11";"0:0:22"
05/05/15;"0:3:53";"0:27:39";"0:23:41";"0:0:13";"0:0:0"
07/05/15;"0:29:10";"0:20:18";"0:12:38";"0:0:0";"0:0:0"
08/05/15;"0:4:48";"0:23:23";"0:36:7";"0:10:18";"0:0:0"
09/05/15;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
09/05/15;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
11/05/15;"0:10:41";"0:18:55";"0:15:46";"0:9:12";"0:2:26"
17/05/15;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
17/05/15;"0:17:4";"0:30:43";"0:3:20";"0:0:0";"0:0:0"
23/05/15;"0:14:49";"0:31:45";"0:26:8";"0:1:32";"0:0:0"
24/05/15;"2:57:50";"0:58:39";"0:36:3";"0:28:44";"0:0:0"
26/05/15;"0:1:28";"0:6:42";"0:32:29";"0:20:19";"0:0:26"
29/05/15;"0:1:52";"0:19:39";"0:13:12";"0:31:33";"0:4:56"
31/05/15;"0:3:13";"0:33:42";"0:22:5";"0:26:21";"0:1:55"
02/06/15;"0:6:23";"0:47:8";"0:23:56";"0:0:0";"0:0:0"
02/06/15;"0:11:17";"0:32:15";"0:31:27";"0:0:0";"0:0:0"
03/06/15;"0:0:34";"0:23:10";"0:34:23";"0:17:7";"0:0:0"
05/06/15;"0:6:8";"0:10:59";"0:8:18";"0:8:23";"0:0:3"
06/06/15;"1:7:2";"1:48:56";"1:27:10";"0:5:19";"0:0:0"
09/06/15;"0:19:5";"0:41:49";"0:12:32";"0:1:1";"0:0:0"
09/06/15;"0:0:16";"0:0:4";"0:0:24";"0:20:39";"0:0:0"
09/06/15;"0:8:45";"0:0:47";"0:0:0";"0:0:0";"0:0:0"
11/06/15;"0:29:54";"0:12:51";"0:23:3";"0:0:20";"0:0:0"
14/06/15;"0:18:56";"0:51:34";"0:58:31";"0:13:31";"0:0:0"
15/06/15;"0:3:10";"0:16:12";"0:21:18";"0:12:37";"0:0:5"
17/06/15;"0:6:17";"0:19:14";"0:21:53";"0:0:22";"0:0:0"
17/06/15;"0:24:21";"0:23:8";"0:16:4";"0:11:3";"0:0:0"
17/06/15;"0:1:2";"0:7:14";"0:35:56";"0:0:30";"0:0:0"
18/06/15;"0:7:10";"0:10:42";"0:1:33";"0:0:0";"0:0:0"
18/06/15;"0:0:26";"0:7:12";"0:9:50";"0:0:16";"0:0:0"
20/06/15;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
20/06/15;"0:3:47";"0:29:49";"0:12:44";"0:6:41";"0:0:0"
21/06/15;"0:4:47";"0:28:57";"0:38:2";"0:3:14";"0:0:0"
24/06/15;"0:2:59";"0:12:15";"0:21:9";"0:1:56";"0:0:0"
26/06/15;"0:12:19";"0:15:17";"0:3:5";"0:0:0";"0:0:0"
27/06/15;"1:3:39";"4:14:39";"5:30:49";"0:1:36";"0:0:0"
02/07/15;"1:24:13";"0:1:19";"0:0:0";"0:0:0";"0:0:0"
03/07/15;"6:0:1";"0:19:52";"0:0:0";"0:0:0";"0:0:0"
03/07/15;"0:56:56";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
04/07/15;"0:10:34";"0:18:46";"0:27:31";"0:14:54";"0:0:0"
05/07/15;"0:37:10";"0:39:35";"0:55:0";"0:15:31";"0:0:0"
07/07/15;"0:4:5";"0:11:42";"0:14:7";"0:8:17";"0:0:14"
10/07/15;"0:3:44";"0:17:40";"0:16:56";"0:13:30";"0:0:0"
21/07/15;"0:2:32";"0:19:58";"0:23:12";"0:1:7";"0:0:0"
22/07/15;"0:18:6";"0:15:40";"0:24:8";"0:19:52";"0:0:0"
22/07/15;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
23/07/15;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
24/07/15;"0:59:13";"1:47:40";"2:46:21";"0:22:29";"0:0:0"
26/07/15;"0:19:52";"0:11:5";"0:26:18";"0:23:16";"0:0:24"
28/07/15;"1:20:37";"1:23:34";"2:13:13";"0:23:45";"0:0:0"
30/07/15;"0:1:48";"0:20:55";"0:19:30";"0:2:40";"0:0:0"
01/08/15;"1:32:1";"0:15:52";"0:3:18";"0:0:0";"0:0:0"
02/08/15;"1:13:17";"0:7:39";"0:17:34";"0:46:36";"0:0:0"
05/08/15;"0:18:25";"0:37:36";"0:18:7";"0:1:5";"0:0:0"
06/08/15;"0:12:24";"0:0:50";"0:0:0";"0:0:0";"0:0:0"
06/08/15;"0:28:3";"1:19:8";"1:45:52";"0:26:27";"0:0:0"
09/08/15;"0:39:28";"0:40:13";"0:51:58";"0:21:29";"0:1:11"
10/08/15;"0:9:34";"0:17:54";"0:10:45";"0:8:36";"0:0:42"
12/08/15;"1:37:8";"0:32:19";"0:6:58";"0:0:0";"0:0:0"
12/08/15;"0:11:5";"0:33:19";"0:23:28";"0:3:23";"0:0:0"
14/08/15;"0:10:38";"0:18:32";"0:16:35";"0:26:51";"0:0:6"
15/08/15;"2:41:47";"1:22:45";"0:24:53";"0:0:28";"0:0:0"
16/08/15;"0:45:48";"0:14:55";"0:4:47";"0:0:0";"0:0:0"
16/08/15;"0:18:19";"0:13:4";"0:5:52";"0:0:0";"0:0:0"
16/08/15;"0:26:6";"0:0:42";"0:0:0";"0:0:0";"0:0:0"
17/08/15;"0:44:9";"0:12:32";"0:6:47";"0:0:0";"0:0:0"
19/08/15;"0:21:8";"0:22:21";"0:15:4";"0:14:5";"0:0:0"
20/08/15;"0:12:53";"0:28:3";"0:14:11";"0:1:51";"0:0:0"
22/08/15;"4:23:39";"0:51:35";"0:20:58";"0:10:30";"0:0:0"
23/08/15;"0:36:55";"0:18:1";"1:1:52";"0:10:18";"0:0:0"
25/08/15;"0:43:37";"0:2:36";"0:16:54";"0:16:21";"0:0:0"
27/08/15;"0:2:30";"0:17:25";"0:26:31";"0:10:11";"0:3:55"
27/08/15;"0:0:20";"0:16:22";"0:33:0";"0:0:0";"0:0:0"
28/08/15;"0:14:2";"0:26:55";"0:15:28";"0:0:0";"0:0:0"
29/08/15;"0:16:12";"0:7:41";"0:5:12";"0:0:0";"0:0:0"
30/08/15;"0:1:20";"0:32:16";"0:17:9";"0:18:26";"0:0:0"
31/08/15;"0:8:54";"0:22:50";"0:21:29";"0:4:15";"0:0:0"
01/09/15;"0:1:48";"0:39:29";"0:25:47";"0:0:0";"0:0:0"
05/09/15;"0:0:8";"0:0:8";"0:0:11";"0:40:10";"0:0:0"
06/09/15;"0:0:19";"0:8:44";"0:33:51";"0:3:2";"0:0:0"
06/09/15;"0:56:35";"0:0:5";"0:0:0";"0:0:0";"0:0:0"
06/09/15;"0:14:3";"0:3:11";"0:0:39";"0:0:21";"0:0:0"
07/09/15;"0:5:39";"0:14:40";"0:27:17";"0:0:26";"0:0:0"
09/09/15;"0:4:46";"0:29:13";"0:24:13";"0:3:11";"0:0:0"
10/09/15;"0:14:25";"0:12:38";"0:8:22";"0:6:46";"0:4:12"
11/09/15;"0:35:21";"0:25:29";"0:8:34";"0:0:0";"0:0:0"
12/09/15;"1:16:6";"0:53:48";"0:8:20";"0:0:0";"0:0:0"
